filename,chroma_stft,spec_cent,spec_bw,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,raga
raga b14.wav-1,0.21990421,1071.6049412547784,1657.3012504263302,0.12286291,-282.0393,172.65437,6.4582133,27.094528,-8.289255,3.047872,-5.918208,-4.972328,-2.936594,-16.578266,-24.144798,-21.25151,-16.13405,-21.004795,-7.480111,-4.5410237,3.7859125,7.189721,11.14501,6.1896915,raga b
raga b14.wav-2,0.22977695,1083.3307439227656,1667.1427306976232,0.15030469,-267.44055,174.19897,-11.122958,31.382088,-2.0598426,5.8424716,-6.9208465,-2.623261,-6.522483,-19.554642,-20.873976,-18.071405,-15.753478,-28.281347,-11.740841,-10.910497,-4.861149,3.6957574,12.392761,16.634205,raga b
raga b14.wav-3,0.24893169,1366.4447407385117,1856.617273555356,0.09981875,-267.24814,171.86423,-19.185001,27.581697,-8.316718,-0.27048633,-16.430552,-6.714361,-4.0345445,-21.624308,-24.582941,-20.4524,-14.085047,-18.042498,2.7103674,4.4462304,11.045169,8.248302,3.4318767,4.5578713,raga b
raga b14.wav-4,0.20458826,1620.026674651471,2081.767366098317,0.17871982,-218.95297,155.58269,-27.730091,42.994938,-16.206285,4.85737,-9.3537445,-5.9789267,-8.363853,-14.60253,-19.448708,-19.785574,-11.792487,-26.439182,-10.700574,-10.118835,-2.6595623,4.425452,12.709602,15.882952,raga b
raga b14.wav-5,0.28570774,1077.7467715628445,1667.8321535152427,0.11503976,-285.62524,172.45258,2.2968109,27.76472,-1.7640508,2.3208811,-3.70699,-8.296496,-10.907839,-11.154552,-15.972134,-23.313921,-16.665112,-19.406187,-14.169774,-14.345536,-7.552271,-5.347442,-1.7330085,4.3833356,raga b
raga b14.wav-6,0.30450812,1020.3482936466179,1581.6862390981066,0.13939771,-270.6829,174.60205,2.2570353,22.995947,-0.1509013,5.3603525,-4.095442,-9.012375,-13.210359,-10.061024,-8.923047,-20.482124,-18.08666,-16.581892,-11.607858,-14.0281315,-5.797956,-6.732343,-6.1981654,-2.9791875,raga b
raga b14.wav-7,0.28818843,1085.5214939154052,1618.7465419948733,0.14041783,-255.06157,181.46451,-13.859923,19.780407,0.9566912,5.3610716,-6.183289,-5.4788446,-11.074105,-14.736255,-11.689326,-21.32109,-18.917917,-11.375888,-2.3359575,-14.724474,-8.663648,-4.278442,-5.5370555,-3.675441,raga b
raga b14.wav-8,0.27264598,1242.4422460591582,1683.9757257660738,0.1288665,-230.68925,193.09775,-23.154829,30.368769,-8.257032,5.31487,-14.386873,-10.823831,-10.635254,-16.438278,-17.504133,-19.730476,-12.223688,-21.302917,-7.9882536,-8.965057,-4.605661,-1.3577938,3.358102,5.06426,raga b
raga b14.wav-9,0.24459177,1600.4638292567295,2016.0706316734688,0.12884219,-220.65312,175.96945,-31.912695,41.512825,-15.652549,14.684437,-8.292572,-7.0625176,-7.740515,-13.109955,-14.194613,-19.148512,-11.197352,-23.385399,-9.977741,-11.221155,-2.802212,-1.6742728,1.1657792,6.284769,raga b
raga b14.wav-10,0.24379842,1046.8700518743533,1609.0479871360642,0.12375764,-280.15735,181.90335,-3.5048673,25.083511,-1.0482458,4.5933456,-14.200106,-5.035874,-6.5684915,-20.456724,-19.459726,-18.851727,-16.8079,-22.73657,-7.3694234,-5.271647,5.339683,7.447698,11.489794,12.138594,raga b
